DriverName,LapNum,Timestamp,LapTime,LapTimeMins,S1,S2,S3,S1Mins,S2Mins,S3Mins
U.V,174,1682685251,40539,00:40.539,5416,27130,7993,00:05.416,00:27.130,00:07.993
ShimiC,170,1682785596,40540,00:40.540,5823,27054,7663,00:05.823,00:27.054,00:07.663
EDF lotem,44,1682600071,40541,00:40.541,5478,27310,7753,00:05.478,00:27.310,00:07.753
Y.Cohen,73,1682679241,40542,00:40.542,5464,27239,7839,00:05.464,00:27.239,00:07.839
tomerventura,171,1682800939,40543,00:40.543,5591,27154,7798,00:05.591,00:27.154,00:07.798
giladheskia,75,1682773493,40546,00:40.546,5478,27243,7825,00:05.478,00:27.243,00:07.825
ShimiC,110,1682707041,40546,00:40.546,5401,27378,7767,00:05.401,00:27.378,00:07.767
Daniel Lerman,13,1682699420,40546,00:40.546,5369,27442,7735,00:05.369,00:27.442,00:07.735
EDF lotem,41,1682599933,40547,00:40.547,5555,27144,7848,00:05.555,00:27.144,00:07.848
Hublot,22,1682718593,40547,00:40.547,5465,27041,8041,00:05.465,00:27.041,00:08.041
Hublot,25,1682719047,40548,00:40.548,5393,27397,7758,00:05.393,00:27.397,00:07.758
GasCan13,122,1682792537,40550,00:40.550,5351,26101,9098,00:05.351,00:26.101,00:09.098
Hublot,54,1682790715,40550,00:40.550,5451,27351,7748,00:05.451,00:27.351,00:07.748
Hublot,98,1682793398,40551,00:40.551,5549,27307,7695,00:05.549,00:27.307,00:07.695
Ido,137,1682790647,40552,00:40.552,5420,27378,7754,00:05.420,00:27.378,00:07.754
SirSiriuSoWhy,26,1682779856,40552,00:40.552,5475,27305,7772,00:05.475,00:27.305,00:07.772
ITZYuval,293,1682795745,40554,00:40.554,5503,27284,7767,00:05.503,00:27.284,00:07.767
Yuval Rosen,365,1682796811,40554,00:40.554,5368,26806,8380,00:05.368,00:26.806,00:08.380
Yarin,37,1682698817,40555,00:40.555,5424,27395,7736,00:05.424,00:27.395,00:07.736
Ido,71,1682784773,40558,00:40.558,5553,27261,7744,00:05.553,00:27.261,00:07.744
tomerventura,175,1682801140,40558,00:40.558,5494,27185,7879,00:05.494,00:27.185,00:07.879
Ori Arish,68,1682613724,40558,00:40.558,5435,27163,7960,00:05.435,00:27.163,00:07.960
Y.Cohen,213,1682686414,40559,00:40.559,5397,27445,7717,00:05.397,00:27.445,00:07.717
Ido,75,1682784982,40560,00:40.560,5446,27364,7750,00:05.446,00:27.364,00:07.750
Lahoh,47,1682771236,40563,00:40.563,5480,27212,7871,00:05.480,00:27.212,00:07.871
serbansim,143,1682760658,40563,00:40.563,5683,27117,7763,00:05.683,00:27.117,00:07.763
U.V,65,1682620529,40564,00:40.564,5405,27284,7875,00:05.405,00:27.284,00:07.875
Y.Cohen,62,1682678796,40565,00:40.565,5457,27166,7942,00:05.457,00:27.166,00:07.942
Lahoh,21,1682768527,40566,00:40.566,5547,27279,7740,00:05.547,00:27.279,00:07.740
giladheskia,40,1682694325,40567,00:40.567,5517,27216,7834,00:05.517,00:27.216,00:07.834
TAL S,67,1682790167,40567,00:40.567,5435,27257,7875,00:05.435,00:27.257,00:07.875
giladheskia,76,1682773533,40568,00:40.568,5496,27279,7793,00:05.496,00:27.279,00:07.793
Player,161,1682673146,40569,00:40.569,5518,27135,7916,00:05.518,00:27.135,00:07.916
Reem Gross,9,1682697974,40570,00:40.570,5385,27170,8015,00:05.385,00:27.170,00:08.015
U.V,60,1682619748,40571,00:40.571,5562,27031,7978,00:05.562,00:27.031,00:07.978
U.V,93,1682623146,40571,00:40.571,5498,27347,7726,00:05.498,00:27.347,00:07.726
Y.Cohen,127,1682682238,40572,00:40.572,5381,27495,7696,00:05.381,00:27.495,00:07.696
Ido,120,1682789605,40575,00:40.575,5403,27485,7687,00:05.403,00:27.485,00:07.687
Y.Cohen,85,1682680411,40575,00:40.575,5528,27235,7812,00:05.528,00:27.235,00:07.812
Y.Cohen,408,1682787735,40575,00:40.575,5583,27224,7768,00:05.583,00:27.224,00:07.768
EDF lotem,25,1682597928,40576,00:40.576,5539,27382,7655,00:05.539,00:27.382,00:07.655
Yuval Rosen,322,1682776624,40576,00:40.576,5355,26631,8590,00:05.355,00:26.631,00:08.590
ShimiC,151,1682709529,40577,00:40.577,5518,27275,7784,00:05.518,00:27.275,00:07.784
Reem Gross,16,1682698422,40577,00:40.577,5455,27293,7829,00:05.455,00:27.293,00:07.829
yarimalk23,244,1682726100,40580,00:40.580,5462,27297,7821,00:05.462,00:27.297,00:07.821
Ido,90,1682786379,40582,00:40.582,5428,27387,7767,00:05.428,00:27.387,00:07.767
Y.Cohen,327,1682781795,40582,00:40.582,5360,27612,7610,00:05.360,00:27.612,00:07.610
GasCan13,124,1682792619,40582,00:40.582,5441,27513,7628,00:05.441,00:27.513,00:07.628
